country;iso;population;area;capital;accession;currency
Austria;AT;8926000;83855;Vienna;1995-01-01;Euro
Belgium;BE;11566041;30528;Brussels;1958-01-01;Euro
Bulgaria;BG;6916548;110994;Sofia;2007-01-01;Lev
Croatia;HR;4036355;56594;Zagreb;2013-07-01;Euro
Cyprus;CY;896000;9251;Nicosia;2004-05-01;Euro
Czechia;CZ;10574153;78866;Prague;2004-05-01;Euro
Denmark;DK;5833883;43075;Copenhagen;1973-01-01;Krone
Estonia;EE;1330068;45227;Tallinn;2004-05-01;Euro
Finland;FI;5527493;338424;Helsinki;1995-01-01;Euro
France;FR;67439614;632785;Paris;1958-01-01;Euro
Germany;DE;83120520;357386;Berlin;1958-01-01;Euro
Greece;GR;10682547;131990;Athens;1981-01-01;Euro
Hungary;HU;9730772;93030;Budapest;2004-05-01;Euro
Ireland;IE;5006324;70273;Dublin;1973-01-01;Euro
Italy;IT;58968501;301338;Rome;1958-01-01;Euro
Latvia;LV;1862700;64589;Riga;2004-05-01;Euro
Lithuania;LT;2795680;65200;Vilnius;2004-05-01;Euro
Luxembourg;LU;633347;2586.4;Luxembourg;1958-01-01;Euro
Malta;MT;516100;316;Valletta;2004-05-01;Euro
Netherlands;NL;17614840;41543;Amsterdam;1958-01-01;Euro
Poland;PL;37840001;312685;Warsaw;2004-05-01;ZÅ‚oty
Portugal;PT;10298252;92212;Lisbon;1986-01-01;Euro
Romania;RO;19186201;238391;Bucharest;2007-01-01;Leu
Slovakia;SK;5422194;49035;Bratislava;2004-05-01;Euro
Slovenia;SI;2108977;20273;Ljubljana;2004-05-01;Euro
Spain;ES;48797875;504030;Madrid;1986-01-01;Euro
Sweden;SE;10370000;449964;Stockholm;1995-01-01;Krona
